Label,Paper Name,Authors,Year,Journals/Conferences,Application Scenario,Category,Key Technologies (Abbr.),Key Technologies (Full Name)
[28],A feedforward neural network based indoor-climate control framework for thermal comfort and energy saving in buildings,"T. Chaudhuri, Y. C. Soh, H. Li, and L. Xie",2019,Applied Energy,Optimal Dispatch,Boundary Parameters,SLFF-ANN,Single Layered Feed Forward Artificial Neural Network
[29],Mixed integer non-linear programming and Artificial Neural Network based approach to ancillary services dispatch in competitive electricity markets,"B. Canizes, J. Soares, P. Faria, and Z. Vale",2013,Applied Energy,Optimal Dispatch,Boundary Parameters,ANN,Artificial Neural Network
[30],A Data-Driven Stackelberg Market Strategy for Demand Response-Enabled Distribution Systems,"T. G. Lu, Z. Y. Wang, J. H. Wang, Q. Ai, and C. Wan",2019,IEEE Transactions on Smart Grid,Electricity Markets,Boundary Parameters,/,Statistical Learning
[31],Data-Driven Local Control Design for Active Distribution Grids Using Off-Line Optimal Power Flow and Machine Learning Techniques,"Karagiannopoulos, S. and Aristidou, P. and Hug, G.",2019,IEEE Transactions on Smart Grid,Optimal Dispatch,Boundary Parameters,SVM,Support Vector Machine
[32],Deep Learning-Based Time-Varying Parameter Identification for System-Wide Load Modeling,"M. J. Cui, M. Khodayar, C. Chen, X. A. Wang, Y. Zhang, and M. E. Khodayar,  ",2019,IEEE Transactions on Smart Grid,Identification,Boundary Parameters,M-LSTM,Multi-modal Long Short-Term Memory
[33],Distributed Framework for Detecting PMU Data Manipulation Attacks With Deep Autoencoders,"J. Y. Wang, D. Y. Shi, Y. H. Li, J. F. Chen, H. F. Ding, and X. Z. Duan",2019,IEEE Transactions on Smart Grid,Identification,Boundary Parameters,"DAE, RBM","Deep Auto-Encoder, Restricted Boltzmann Machine"
[34],Improving Supervised Phase Identification Through the Theory of Information Losses,"B. Foggo and N. P. Yu,",2020,IEEE Transactions on Smart Grid,Identification,Boundary Parameters,/,Information Theoretic Machine Learning
[35],A Deep Learning-Based Feature Extraction Framework for System Security Assessment,"M. Y. Sun, I. Konstantelos, and G. Strbac",2019,IEEE Transactions on Smart Grid,Dynamic Security,Boundary Parameters,"DAN, DT","Deep Autoencoder Network, Decision Tree"
[36],A Multi-Timescale Data-Driven Approach to Enhance Distribution System Observability,"Y. X. Yuan, K. Dehghanpour, F. K. Bu, and Z. Y. Wa",2019,IEEE Transactions on Power Systems,Identification,Boundary Parameters,/,"Clustering, Multi-Time-Scale Learning, Recursive Bayesian Learning"
[37],A Fully Data-Driven Method Based on Generative Adversarial Networks for Power System Dynamic Security Assessment With Missing Data,C. Ren and Y. Xu,2019,IEEE Transactions on Power Systems,Dynamic Security,Boundary Parameters,"GAN, ELM, RVFL","Generative Adversarial Network, Extreme Machine Learning, Random Vector Functional Link Networks"
[38],Data-Driven Learning-Based Optimization for Distribution System State Estimation,"Zamzam, A. S., Fu, X. and Sidiropoulos, N. D.",2019,IEEE Transactions on Power Systems,Identification,Optimization Option Selection,ANN,Artificial Neural Network
[39],DeepOPF: A Deep Neural Network Approach for Security-Constrained DC Optimal Power Flow,"X. Pan, T. Zhao, and M. Chen",2019,arXiv,Power Flow Calculation,Optimization Option Selection,DNN,Deep Neural Network
[40],Toward Distributed Energy Services: Decentralizing Optimal Power Flow With Machine Learning,"Dobbe, R., Sondermeijer, O., Fridovich-Keil, D., Arnold, D., Callaway, D. and Tomlin, C.",2020,IEEE Transactions on Smart Grid,Power Flow Calculation,Optimization Option Selection,LR,Multiple Stepwise Linear Regression
[41],Machine learning methods to assist energy system optimization,"Perera, A. T. D., Wickramasinghe, P. U., Nik, V. M. and Scartezzini, J. L.",2019,Applied Energy,Optimal Dispatch,Optimization Option Selection,"SL, TL","Supervised Learning, Transfer Learning"
[42],Data-Driven Power Flow Linearization: A Regression Approach,"Y. X. Liu, N. Zhang, Y. Wang, J. W. Yang, and C. Q. Kang",2019,IEEE Transactions on Smart Grid,Power Flow Calculation,Optimization Option Selection,LR,Linear Regression
[43],A Data-Driven Approach to Linearize Power Flow Equations Considering Measurement Noise,"Y. X. Liu, Y. Wang, N. Zhang, D. Lu, and C. Q. Kang",2020,IEEE Transactions on Power Systems,Power Flow Calculation,Optimization Option Selection,LR,Linear Regression
[44],A Hybrid Neural Network and Simulated Annealing Approach to the Unit Commitment Problem,R. Nayak and J. D. Sharma,2000,Computers and Electrical Engineering,Optimal Dispatch,Optimization Option Selection,ANN,Artificial Neural Network
[45],Learning to Solve Large-Scale Security-Constrained Unit Commitment Problems,"A. S. Xavier, F. Qiu, and S. Ahme",2019,arXiv,Optimal Dispatch,Optimization Option Selection,"kNN, SVM","k-Nearest Neighbors, support vector machines"
[46],Network State-Based Algorithm Selection for Power Flow Management Using Machine Learning," J. E. King, S. C. E. Jupe, and P. C. Taylor",2015,IEEE Transactions on Power Systems,Optimal Dispatch,Optimization Option Selection,"ANN, DT, RF","Artificial Neural Network, Decision Tree, Random Forest"
[47],SHAPES: A novel approach for learning search heuristics in under-constrained optimization problems,"Doan, K. P. V. and Wong, K. P.",1997,IEEE Transactions on Knowledge and Data Engineering,Optimal Dispatch,Optimization Option Selection,/,Heuristic Method
[48],Chance-Constrained Outage Scheduling Using a Machine Learning Proxy,"Dalal, G., Gilboa, E., Mannor, S. and Wehenkel, L.",2019,IEEE Transactions on Power Systems,Electricity Markets,Optimization Option Selection,kNN,k-Nearest Neighbors
[49],Convolutional Neural Networks for Automatic State-Time Feature Extraction in Reinforcement Learning Applied to Residential Load Control,"Claessens, B. J., Vrancx, P. and Ruelens, F.",2018,IEEE Transactions on Smart Grid,Identification,Surrogate Model,"CNN, DRL","Convolutional Neural Network, Deep Reinforcement Learning"
[50],Heterogeneous Energy Storage Optimization for Microgrids,X. Qiu and T. A. Nguyen and M. L. Crow,2016,IEEE Transactions on Smart Grid,Optimal Dispatch,Surrogate Model,RL,Reinforcement Learning
[51],Design and Real-Time Implementation of Optimal Power System Wide-Area System-Centric Controller Based on Temporal Difference Learning,R. Yousefian and S. Kamalasadan,2016,IEEE Transactions on Industry Applications,Optimal Dispatch,Surrogate Model,TD,Temporal Difference Learning
[52],A reinforcement learning framework for optimal operation and maintenance of power grids,R. Rocchetta and L. Bellani and M. Compare and E. Zio and E. Patelli,2019,Applied Energy,Optimal Dispatch,Surrogate Model,RL,Reinforcement Learning
[53],Deep Reinforcement Learning for EV Charging Navigation by Coordinating Smart Grid and Intelligent Transportation System,"Qian, T., Shao, C. C., Wang, X. L. and Shahidehpour, M.",2020,IEEE Transactions on Smart Grid,Optimal Dispatch,Surrogate Model,DQN,Deep Q Network
[54],On-Line Building Energy Optimization Using Deep Reinforcement Learning,E. Mocanu and D. C. Mocanu and P. H. Nguyen and A. Liotta and M. E. Webber and M. Gibescu and J. G. Slootweg,2019,IEEE Transactions on Smart Grid,Optimal Dispatch,Surrogate Model,DRL,Deep Reinforcement Learning
[55],Double Deep Q-Learning-Based Distributed Operation of Battery Energy Storage System Considering Uncertainties,V. Bui and A. Hussain and H. Kim,2020,IEEE Transactions on Smart Grid,Optimal Dispatch,Surrogate Model,DQN,Double Deep Q Network
[56],Artificial intelligence based smart energy community management: A reinforcement learning approach,S. Zhou and Z. Hu and W. Gu and M. Jiang and X. Zhang,2019,CSEE Journal of Power and Energy Systems,Optimal Dispatch,Surrogate Model,QL,Fuzzy Q-learning
[57],Multi-Period and Multi-Spatial Equilibrium Analysis in Imperfect Electricity Markets: A Novel Multi-Agent Deep Reinforcement Learning Approach,"Y. Ye, D. Qiu, J. Li, and G. Strbac",2019,IEEE Access,Electricity Markets,Surrogate Model,DRL,Multi-agent Deep Reinforcement learning
[58],Distributed reinforcement learning to coordinate current sharing and voltage restoration for islanded DC microgrid,"Liu, Z. F., Luo, Y., Zhuo, R. Q. and Jin, X. L.",2018,Journal of Modern Power Systems and Clean Energy,Dynamic Security,Surrogate Model,Distributed RL,Distributed Reinforcement Learning
[59],Hierarchically Correlated Equilibrium Q-learning for Multi-area Decentralized Collaborative Reactive Power Optimization,"Tan, M., Han, C. J., Zhang, X. S., Guo, L. X. and Yu, T.",2016,CSEE Journal of Power and Energy Systems,Optimal Dispatch,Surrogate Model,/,Hierarchically Correlated Equilibrium Q-learning 
[60],Coordination of Electric Vehicle Charging Through Multiagent Reinforcement Learning,"Da Silva, F. L., Nishida, C. E. H., Roijers, D. M. and Costa, A. H. R.",2020,IEEE Transactions on Smart Grid,Optimal Dispatch,Surrogate Model,Multi-agent RL,Multi-agent Reinforcement learning
[61],Constrained EV Charging Scheduling Based on Safe Deep Reinforcement Learning,"Li, H. P., Wan, Z. Q. and He, H. B.",2020,IEEE Transactions on Smart Grid,Optimal Dispatch,Surrogate Model,DRL,Safe Deep Reinforcement Learning
[62],Safe Off-policy Deep Reinforcement Learning Algorithm for Volt-VAR Control in Power Distribution Systems,"Wang, Wei, Yu, Nanpeng, Gao, Yuanqi and Shi, Jie",2019,IEEE Transactions on Smart Grid,Optimal Dispatch,Surrogate Model,DRL,Safe Deep Reinforcement Learning
[63],Fast Calculation of Probabilistic Power Flow: A Model-Based Deep Learning Approach,"Yang, Y., Yang, Z. F., Yu, J., Zhang, B. S., Zhang, Y. Q. and Yu, H. X.",2020,IEEE Transactions on Smart Grid,Power Flow Calculation,Surrogate Model,DNN,Deep Neural Network
[64],Probabilistic power flow with topology changes based on deep neural network,"Xiang, M. X. and Yu, J. and Yang, Z. F. and Yang, Y. and Yu, H. X. and He, H.",2020,International Journal of Electrical Power and Energy Systems,Power Flow Calculation,Surrogate Model,DNN,Deep Neural Network
[65],Data-driven Optimal Power Flow: A Physics-Informed Machine Learning Approach,"Lei, Xingyu and Yang, Zhifang and Yu, Juan and Zhao, Junbo and Gao, Qian and Yu, Hongxin",2020,IEEE Transactions on Power Systems,Power Flow Calculation,Surrogate Model,ELM,Extreme Learning Machine
[66],Graph Convolutional Neural Networks for Optimal Load Shedding under Line Contingency,"C. Kim, K. Kim, P. Balaprakash and M. Anitescu",2019,2019 IEEE Power & Energy Society General Meeting (PESGM),Dynamic Security,Surrogate Model,CNN,Convolutional Neural Network
[67],Optimal Control Via Neural Networks: A Convex Approach,"Y. Chen, Y. Shi, and B. Zhang",2019,2019 International Conference on Learning Representations (ICLR),Identification,Surrogate Model,RNN,Input Convex Recurrent Neural Network
[68],A length ratio based neural network energy management strategy for online control of plug-in hybrid electric city bus,"Tian, H., Lu, Z. W., Wang, X., Zhang, X. L., Huang, Y. and Tian, G. Y.",2016,Applied Energy,Optimal Dispatch,Surrogate Model,DNN,Deep Neural Network
[69],Real-time realization of Dynamic Programming using machine learning methods for IC engine waste heat recovery system power optimization,"Xu, B., Rathod, D., Yebi, A. and Filipi, Z.",2020,Applied Energy,Others,Surrogate Model,"DP, ML","Dynamic Programming, Machine Learning"
[70],Sparse Oblique Decision Tree for Power System Security Rules Extraction and Embedding,"Q. Hou, N. Zhang, D. S. Kirschen, E. Du, Y. Cheng, and C. Kang.",2020,arXiv,Dynamic Security,Hybrid Model,ODT,Oblique Decision Tree
[71],Embed Neural Network in Optimization Model: An Application of Demand Response Aggregation Under Information Asymmetry,"G. Ruan, H. Zhong, Q. Xia, Q. Huang, and C. Zhou",2019,2019 IEEE Power & Energy Society General Meeting (PESGM),Optimal Dispatch,Hybrid Model,FCNN,Fully Connected Neural Network
[72],A Profit Maximization Approach to Demand Response Management with Customers Behavior Learning in Smart Grid,"Meng, F. L. and Zeng, X. J.",2016,IEEE Transactions on Smart Grid,Optimal Dispatch,Hybrid Model,LR,Linear Regression
[73],Optimization of electricity pricing considering neural network based model of consumers' demand response,"T. Holtschneider, I. Erlich",2013,2013 IEEE Computational Intelligence Applications in Smart Grid,Electricity Markets,Hybrid Model,FFNN,Feed Forward Neural Network
[74],Operational supply and demand optimisation of a multi-vector district energy system using artificial neural networks and a genetic algorithm,"Reynolds, J., Ahmad, M. W., Rezgui, Y. and Hippolyte, J. L.",2019,Applied Energy,Optimal Dispatch,Hybrid Model,ANN,Artificial Neural Network
[75],Hybrid Model and Data Driven Concepts for Power System Security Feature Selection and Knowledge Dicovery: Key Technologies and Engineering Application,"T. Huang, Q. Guo, H. Sun, N. Zhao, B. Wang, and W. Guo",2019,Automation of Electric Power Systems,Dynamic Security,Hybrid Model,SVM,Support Vector Machine
[76],Neural-Network Security-Boundary Constrained Optimal Power Flow,"V. J. Gutierrez-Martinez, C. A. Canizares, C. R. Fuerte-Esquivel, A. Pizano-Martinez, and X. P. Gu",2011,IEEE Transactions on Power Systems,Power Flow Calculation,Hybrid Model,BPNN,Back-Propagation Neural Network
[77],An Optimal and Learning-Based Demand Response and Home Energy Management System,"Zhang, D., Li, S. H., Sun, M. and O'Neill, Z.",2016,IEEE Transactions on Smart Grid,Optimal Dispatch,Hybrid Model,MLP,Multilayer Perceptron
[78],Model predictive control with adaptive machine-learning-based model for building energy efficiency and comfort optimization,"Yang, Shiyu, Wan, Man Pun, Chen, Wanyu, Ng, Bing Feng and Dubey, Swapnil",2020,Applied Energy,Optimal Dispatch,Hybrid Model,/,Dynamic Artificial Neural Network
[79],Equilibrium-Inspired Multiple Group Search Optimization With Synergistic Learning for Multiobjective Electric Power Dispatch,"Zhou, B., Chan, K. W., Yu, T. and Chung, C. Y.",2013,IEEE Transactions on Power Systems,Optimal Dispatch,Hybrid Model,/,Synergistic Learning
[80],A Particle Swarm Optimization Method for Power System Dynamic Security Control,"Voumvoulakis, E. M. and Hatziargyriou, N. D.",2010,IEEE Transactions on Power Systems,Dynamic Security,Hybrid Model,RBF,Radial Basis Function Neural Network
[81],A Bayesian Learning based Scheme for Online Dynamic Security Assessment and Preventive Control,"Liu, Tingjian, Liu, Youbo, Liu, Junyong, Wang, Lingfeng, Xu, Lixiong, Qiu, Gao and Gao, Hongjun",2020,IEEE Transactions on Power Systems,Dynamic Security,Hybrid Model,BNN,Bayesian Neural Network
[82],A Supervised-Learning-Based Strategy for Optimal Demand Response of an HVAC System in a Multi-Zone Office Building,"Kim, Young-Jin",2020,IEEE Transactions on Smart Grid,Optimal Dispatch,Hybrid Model,ANN,Artificial Neural Network
[83],Sensorless Maximum Power Extraction Control of a Hydrostatic Tidal Turbine Based on Adaptive Extreme Learning Machine,"Yin, X. X. and Zhao, X. W.",2020,IEEE Transactions on Sustainable Energy,Optimal Dispatch,Hybrid Model,ELM,Extreme Learning Machine
[84],A sequential approximation method using neural networks for engineering design optimization problems,"Y. L. Hsu, S. G. Wang, and C. C. Yu",2003,Engineering Optimization,Others,Hybrid Model,ANN,Artificial Neural Network
[85],Neural-network-based optimization for economic dispatch of combined heat and power systems,"Kim, M. J., Kim, T. S., Flores, R. J. and Brouwer, J.",2020,Applied Energy,Optimal Dispatch,Hybrid Model,FFNN,Feed Forward Neural Network
[86],Real-Time Faulted Line Localization and PMU Placement in Power Systems Through Convolutional Neural Networks,"Li, W. T., Deka, D., Chertkov, M. and Wang, M.",2019,IEEE Transactions on Power Systems,Planning,Hybrid Model,CNN,Convolutional Neural Network
